chr	start	end	gc	n_acgt
chr10	64000000	65000000	0.36558	1000000
chr10	65000000	66000000	0.35283	1000000
chr10	66000000	67000000	0.35902	1000000
chr10	67000000	68000000	0.37760	1000000
chr10	68000000	69000000	0.42086	1000000
chr10	69000000	70000000	0.47340	1000000
chr10	70000000	71000000	0.47581	1000000
chr10	71000000	72000000	0.50607	1000000
chr10	72000000	73000000	0.42862	1000000
chr10	73000000	74000000	0.43168	1000000
chr10	74000000	75000000	0.39254	1000000
chr10	75000000	76000000	0.43773	1000000
chr10	76000000	77000000	0.39876	1000000
chr10	77000000	78000000	0.45290	1000000
chr10	78000000	79000000	0.47112	1000000
chr10	79000000	80000000	0.47192	1000000
chr10	80000000	81000000	0.43635	1000000
chr10	81000000	82000000	0.36411	1000000
chr10	82000000	83000000	0.37388	1000000
chr10	83000000	84000000	0.37811	1000000
chr10	84000000	85000000	0.41205	1000000
chr10	85000000	86000000	0.39701	1000000
chr10	86000000	87000000	0.46238	1000000
chr10	87000000	88000000	0.39868	1000000
chr10	88000000	89000000	0.38119	1000000
chr10	89000000	90000000	0.39220	1000000
chr10	90000000	91000000	0.38196	1000000
chr10	91000000	92000000	0.39637	1000000
chr10	92000000	93000000	0.40945	1000000
chr10	93000000	94000000	0.42557	1000000
chr10	94000000	95000000	0.39593	1000000
chr10	95000000	96000000	0.41428	1000000
chr10	96000000	97000000	0.41743	1000000
chr10	97000000	98000000	0.48493	1000000
chr10	98000000	99000000	0.41444	1000000
chr10	99000000	100000000	0.41700	1000000
chr10	100000000	101000000	0.45597	1000000
chr10	101000000	102000000	0.46052	1000000
chr10	102000000	103000000	0.47095	1000000
chr10	103000000	104000000	0.46421	1000000
chr10	104000000	105000000	0.42046	1000000
chr10	105000000	106000000	0.38579	1000000
chr10	106000000	107000000	0.38427	1000000
chr10	107000000	108000000	0.37511	1000000
chr10	108000000	109000000	0.37184	1000000
chr10	109000000	110000000	0.39811	1000000
chr10	110000000	111000000	0.42150	1000000
chr10	111000000	112000000	0.40184	1000000
chr10	112000000	113000000	0.41844	1000000
chr10	113000000	114000000	0.42964	1000000
chr10	114000000	115000000	0.42325	999999
chr10	115000000	116000000	0.36392	1000000
chr10	116000000	117000000	0.42228	1000000
chr10	117000000	118000000	0.43696	1000000
chr10	118000000	119000000	0.41553	1000000
chr10	119000000	120000000	0.45935	1000000
chr10	120000000	121000000	0.41745	1000000
chr10	121000000	122000000	0.42881	1000000
chr10	122000000	123000000	0.45000	1000000
chr10	123000000	124000000	0.45274	1000000
chr10	124000000	125000000	0.48848	999692
chr10	125000000	126000000	0.43954	1000000
chr10	126000000	127000000	0.43425	1000000
chr10	127000000	128000000	0.43776	1000000
chr10	128000000	129000000	0.45043	1000000
chr10	129000000	130000000	0.44925	1000000
chr10	130000000	131000000	0.46499	1000000
chr10	131000000	132000000	0.48654	999894
chr10	132000000	133000000	0.54814	1000000
chr10	133000000	133797422	0.54123	737422
chr11	0	1000000	0.54808	940000
chr11	1000000	2000000	0.56831	1000000
chr11	2000000	3000000	0.53316	1000000
chr11	3000000	4000000	0.47219	1000000
chr11	4000000	5000000	0.40016	1000000
chr11	5000000	6000000	0.38299	1000000
chr11	6000000	7000000	0.42071	1000000
chr11	7000000	8000000	0.40190	1000000
chr11	8000000	9000000	0.44570	1000000
chr11	9000000	10000000	0.42357	1000000
chr11	10000000	11000000	0.41596	1000000
chr11	11000000	12000000	0.43085	1000000
chr11	12000000	13000000	0.43511	1000000
chr11	13000000	14000000	0.40830	1000000
chr11	14000000	15000000	0.39982	1000000
chr11	15000000	16000000	0.41490	1000000
chr11	16000000	17000000	0.38514	1000000
chr11	17000000	18000000	0.45173	1000000
chr11	18000000	19000000	0.42374	1000000
chr11	19000000	20000000	0.43415	1000000
chr11	20000000	21000000	0.40866	1000000
chr11	21000000	22000000	0.37081	1000000
chr11	22000000	23000000	0.36457	1000000
chr11	23000000	24000000	0.35934	1000000
chr11	24000000	25000000	0.35222	1000000
chr11	25000000	26000000	0.35254	1000000
chr11	26000000	27000000	0.36482	1000000
chr11	27000000	28000000	0.39593	1000000
chr11	28000000	29000000	0.36584	1000000
chr11	29000000	30000000	0.36557	1000000
chr11	30000000	31000000	0.38440	1000000
chr11	31000000	32000000	0.37651	1000000
chr11	32000000	33000000	0.41169	1000000
chr11	33000000	34000000	0.41954	1000000
chr11	34000000	35000000	0.42435	1000000
chr11	35000000	36000000	0.41833	1000000
chr11	36000000	37000000	0.41388	1000000
chr11	37000000	38000000	0.35520	1000000
chr11	38000000	39000000	0.35204	1000000
chr11	39000000	40000000	0.36474	1000000
chr11	40000000	41000000	0.36747	1000000
chr11	41000000	42000000	0.36806	1000000
chr11	42000000	43000000	0.37608	1000000
chr11	43000000	44000000	0.40585	1000000
chr11	44000000	45000000	0.47792	1000000
chr11	45000000	46000000	0.47420	1000000
chr11	46000000	47000000	0.44736	1000000
chr11	47000000	48000000	0.46442	1000000
chr11	48000000	49000000	0.39395	1000000
chr11	49000000	50000000	0.36491	1000000
chr11	50000000	51000000	0.38726	821348
chr11	51000000	52000000	0.40042	921252
chr11	52000000	53000000	0.40106	999800
chr11	53000000	54000000	0.40093	999700
chr11	54000000	55000000	0.38826	899900
chr11	55000000	56000000	0.36639	1000000
chr11	56000000	57000000	0.36414	1000000
chr11	57000000	58000000	0.45130	1000000
chr11	58000000	59000000	0.38483	1000000
chr11	59000000	60000000	0.40788	1000000
chr11	60000000	61000000	0.41908	1000000
chr11	61000000	62000000	0.51445	1000000
chr11	62000000	63000000	0.47844	1000000
chr11	63000000	64000000	0.43981	1000000
chr11	64000000	65000000	0.54268	1000000
chr11	65000000	66000000	0.51780	1000000
chr11	66000000	67000000	0.49516	1000000
chr11	67000000	68000000	0.50075	1000000
chr11	68000000	69000000	0.48683	1000000
chr11	69000000	70000000	0.51916	1000000
chr11	70000000	71000000	0.50884	955696
chr11	71000000	72000000	0.47241	944304
chr11	72000000	73000000	0.47107	1000000
chr11	73000000	74000000	0.44990	1000000
chr11	74000000	75000000	0.41756	1000000
chr11	75000000	76000000	0.46532	1000000
chr11	76000000	77000000	0.44960	1000000
chr11	77000000	78000000	0.43083	1000000
chr11	78000000	79000000	0.43326	1000000
chr11	79000000	80000000	0.41958	1000000
chr11	80000000	81000000	0.37372	1000000
chr11	81000000	82000000	0.35763	1000000
chr11	82000000	83000000	0.37786	1000000
chr11	83000000	84000000	0.39144	1000000
chr11	84000000	85000000	0.36559	1000000
chr11	85000000	86000000	0.38086	1000000
chr11	86000000	87000000	0.40970	1000000
chr11	87000000	88000000	0.37881	978202
chr11	88000000	89000000	0.36924	997104
chr11	89000000	90000000	0.36374	1000000
chr11	90000000	91000000	0.35785	1000000
chr11	91000000	92000000	0.36082	1000000
chr11	92000000	93000000	0.39648	1000000
chr11	93000000	94000000	0.40061	1000000
chr11	94000000	95000000	0.40785	1000000
chr11	95000000	96000000	0.39072	1000000
chr11	96000000	97000000	0.37891	999814
chr11	97000000	98000000	0.35726	1000000
chr11	98000000	99000000	0.35516	1000000
chr11	99000000	100000000	0.34798	1000000
chr11	100000000	101000000	0.37451	1000000
chr11	101000000	102000000	0.37692	1000000
chr11	102000000	103000000	0.39881	1000000
chr11	103000000	104000000	0.37071	1000000
chr11	104000000	105000000	0.35888	1000000
chr11	105000000	106000000	0.35623	1000000
chr11	106000000	107000000	0.36936	1000000
chr11	107000000	108000000	0.39380	1000000
chr11	108000000	109000000	0.39234	1000000
chr11	109000000	110000000	0.38367	1000000
chr11	110000000	111000000	0.39606	1000000
chr11	111000000	112000000	0.41463	1000000
chr11	112000000	113000000	0.42382	1000000
chr11	113000000	114000000	0.43691	1000000
chr11	114000000	115000000	0.42048	1000000
chr11	115000000	116000000	0.42090	1000000
chr11	116000000	117000000	0.45175	1000000
chr11	117000000	118000000	0.47934	1000000
chr11	118000000	119000000	0.46291	1000000
chr11	119000000	120000000	0.49227	1000000
chr11	120000000	121000000	0.46515	1000000
chr11	121000000	122000000	0.41209	1000000
chr11	122000000	123000000	0.41084	1000000
chr11	123000000	124000000	0.42845	1000000
chr11	124000000	125000000	0.40121	1000000
chr11	125000000	126000000	0.43897	1000000
chr11	126000000	127000000	0.46842	1000000
chr11	127000000	128000000	0.39072	1000000
chr11	128000000	129000000	0.42189	1000000
chr11	129000000	130000000	0.41046	1000000
chr11	130000000	131000000	0.43965	1000000
chr11	131000000	132000000	0.43139	1000000
chr11	132000000	133000000	0.41583	1000000
chr11	133000000	134000000	0.44088	1000000
chr11	134000000	135000000	0.46638	1000000
chr11	135000000	135086622	0.44979	76622
chr12	0	1000000	0.45458	990000
chr12	1000000	2000000	0.42489	1000000
chr12	2000000	3000000	0.47453	1000000
chr12	3000000	4000000	0.47065	1000000
chr12	4000000	5000000	0.42856	1000000
chr12	5000000	6000000	0.44008	1000000
chr12	6000000	7000000	0.49760	999998
chr12	7000000	8000000	0.42550	999000
chr12	8000000	9000000	0.43001	1000000
chr12	9000000	10000000	0.39877	1000000
chr12	10000000	11000000	0.37570	1000000
chr12	11000000	12000000	0.40326	1000000
chr12	12000000	13000000	0.42616	1000000
chr12	13000000	14000000	0.41541	1000000
chr12	14000000	15000000	0.39597	1000000
chr12	15000000	16000000	0.37441	1000000
chr12	16000000	17000000	0.36624	1000000
chr12	17000000	18000000	0.35574	1000000
chr12	18000000	19000000	0.36355	1000000
chr12	19000000	20000000	0.39115	1000000
chr12	20000000	21000000	0.36530	1000000
chr12	21000000	22000000	0.36631	1000000
chr12	22000000	23000000	0.37765	1000000
chr12	23000000	24000000	0.36054	1000000
chr12	24000000	25000000	0.37967	1000000
chr12	25000000	26000000	0.39002	1000000
chr12	26000000	27000000	0.39011	1000000
chr12	27000000	28000000	0.39792	1000000
chr12	28000000	29000000	0.36696	1000000
chr12	29000000	30000000	0.38573	1000000
chr12	30000000	31000000	0.40610	1000000
chr12	31000000	32000000	0.42873	1000000
chr12	32000000	33000000	0.41095	1000000
chr12	33000000	34000000	0.36727	1000000
chr12	34000000	35000000	0.41683	942452
chr12	35000000	36000000	0.38553	1000000
chr12	36000000	37000000	0.38551	999600
chr12	37000000	38000000	0.37852	942760
chr12	38000000	39000000	0.37598	1000000
chr12	39000000	40000000	0.37075	1000000
chr12	40000000	41000000	0.36247	1000000
chr12	41000000	42000000	0.37294	1000000
chr12	42000000	43000000	0.39689	1000000
chr12	43000000	44000000	0.36977	1000000
chr12	44000000	45000000	0.36852	1000000
chr12	45000000	46000000	0.38550	1000000
chr12	46000000	47000000	0.38893	1000000
chr12	47000000	48000000	0.43148	1000000
chr12	48000000	49000000	0.43688	1000000
chr12	49000000	50000000	0.47469	1000000
chr12	50000000	51000000	0.43090	1000000
chr12	51000000	52000000	0.44887	1000000
chr12	52000000	53000000	0.49628	1000000
chr12	53000000	54000000	0.47114	1000000
chr12	54000000	55000000	0.44830	1000000
chr12	55000000	56000000	0.40646	1000000
chr12	56000000	57000000	0.46517	1000000
chr12	57000000	58000000	0.47735	1000000
chr12	58000000	59000000	0.38414	1000000
chr12	59000000	60000000	0.36293	1000000
chr12	60000000	61000000	0.34721	1000000
chr12	61000000	62000000	0.36151	1000000
chr12	62000000	63000000	0.38813	1000000
chr12	63000000	64000000	0.38167	1000000
chr12	64000000	65000000	0.41239	1000000
chr12	65000000	66000000	0.38739	1000000
chr12	66000000	67000000	0.39002	1000000
chr12	67000000	68000000	0.39440	1000000
chr12	68000000	69000000	0.40216	1000000
chr12	69000000	70000000	0.39903	1000000
chr12	70000000	71000000	0.37976	1000000
chr12	71000000	72000000	0.37746	1000000
chr12	72000000	73000000	0.36479	1000000
chr12	73000000	74000000	0.34996	1000000
chr12	74000000	75000000	0.35179	1000000
chr12	75000000	76000000	0.37240	1000000
chr12	76000000	77000000	0.39100	1000000
chr12	77000000	78000000	0.36889	1000000
chr12	78000000	79000000	0.35193	1000000
chr12	79000000	80000000	0.37277	1000000
chr12	80000000	81000000	0.36295	1000000
chr12	81000000	82000000	0.35083	1000000
chr12	82000000	83000000	0.36532	1000000
chr12	83000000	84000000	0.36166	1000000
chr12	84000000	85000000	0.34656	1000000
chr12	85000000	86000000	0.34664	1000000
chr12	86000000	87000000	0.34582	1000000
chr12	87000000	88000000	0.35368	1000000
chr12	88000000	89000000	0.36248	1000000
chr12	89000000	90000000	0.38435	1000000
chr12	90000000	91000000	0.35766	1000000
chr12	91000000	92000000	0.36139	1000000
chr12	92000000	93000000	0.39311	1000000
chr12	93000000	94000000	0.41327	1000000
chr12	94000000	95000000	0.42017	1000000
chr12	95000000	96000000	0.41058	1000000
chr12	96000000	97000000	0.39879	1000000
chr12	97000000	98000000	0.38644	1000000
chr12	98000000	99000000	0.40592	1000000
chr12	99000000	100000000	0.37228	1000000
chr12	100000000	101000000	0.39974	1000000
chr12	101000000	102000000	0.40170	1000000
chr12	102000000	103000000	0.39154	1000000
chr12	103000000	104000000	0.40151	1000000
chr12	104000000	105000000	0.42562	1000000
chr12	105000000	106000000	0.41256	1000000
chr12	106000000	107000000	0.41820	1000000
chr12	107000000	108000000	0.43000	1000000
chr12	108000000	109000000	0.45975	1000000
chr12	109000000	110000000	0.47514	1000000
chr12	110000000	111000000	0.44921	1000000
chr12	111000000	112000000	0.46665	1000000
chr12	112000000	113000000	0.43805	1000000
chr12	113000000	114000000	0.49319	1000000
chr12	114000000	115000000	0.44312	1000000
chr12	115000000	116000000	0.42618	1000000
chr12	116000000	117000000	0.43500	1000000
chr12	117000000	118000000	0.46012	1000000
chr12	118000000	119000000	0.42681	1000000
chr12	119000000	120000000	0.43962	1000000
chr12	120000000	121000000	0.47267	1000000
chr12	121000000	122000000	0.48726	1000000
chr12	122000000	123000000	0.47015	999999
chr12	123000000	124000000	0.46932	999700
chr12	124000000	125000000	0.51462	1000000
chr12	125000000	126000000	0.44120	1000000
chr12	126000000	127000000	0.40542	1000000
chr12	127000000	128000000	0.41350	1000000
chr12	128000000	129000000	0.44949	1000000
chr12	129000000	130000000	0.43023	1000000
chr12	130000000	131000000	0.47083	1000000
chr12	131000000	132000000	0.51020	1000000
chr12	132000000	133000000	0.54291	998998
chr12	133000000	133275309	0.42249	265309
chr13	0	1000000	0.00000	0
chr13	1000000	2000000	0.00000	0
chr13	2000000	3000000	0.00000	0
chr13	3000000	4000000	0.00000	0
chr13	4000000	5000000	0.00000	0
chr13	5000000	6000000	0.00000	0
chr13	6000000	7000000	0.00000	0
chr13	7000000	8000000	0.00000	0
chr13	8000000	9000000	0.00000	0
chr13	9000000	10000000	0.00000	0
chr13	10000000	11000000	0.00000	0
chr13	11000000	12000000	0.00000	0
chr13	12000000	13000000	0.00000	0
chr13	13000000	14000000	0.00000	0
chr13	14000000	15000000	0.00000	0
chr13	15000000	16000000	0.00000	0
chr13	16000000	17000000	0.38335	999200
chr13	17000000	18000000	0.38703	999600
